City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Nome,US,2023-01-19 22:05:16,64.5011,-165.4064,-16.83,76,0,0.0
174,Nyuksenitsa,RU,2023-01-19 22:07:25,60.4128,44.2397,30.81,94,100,11.14
175,Ahipara,NZ,2023-01-19 22:07:26,-35.1667,173.1667,70.59,66,2,9.26
176,Sonoita,MX,2023-01-19 22:07:26,31.85,-112.8333,58.01,26,4,5.32
177,Pueblo Nuevo,MX,2023-01-19 22:07:27,23.3833,-105.3833,64.38,20,69,6.98
178,Kununurra,AU,2023-01-19 22:07:27,-15.7667,128.7333,76.98,88,100,6.91
179,Ugoofaaru,MV,2023-01-19 22:07:28,5.6667,73.0,79.34,67,0,16.17
180,Mar Del Plata,AR,2023-01-19 22:07:28,-38.0023,-57.5575,77.83,88,33,21.99
181,Ranau,MY,2023-01-19 22:07:29,5.9538,116.6641,67.53,97,100,0.6
182,Byron Bay,AU,2023-01-19 22:07:29,-28.65,153.6167,69.71,92,100,4.45
183,Norman Wells,CA,2023-01-19 22:07:30,65.282,-126.8329,-8.72,99,19,1.95
184,Naze,JP,2023-01-19 22:07:31,28.3667,129.4833,53.89,63,5,10.63
185,Muisne,EC,2023-01-19 22:07:31,0.6,-80.0333,78.89,76,84,8.14
186,Dikson,RU,2023-01-19 22:07:31,73.5069,80.5464,-28.39,94,8,4.32
187,Korla,CN,2023-01-19 21:59:44,41.7597,86.1469,5.59,83,3,0.92
188,Pozo Colorado,PY,2023-01-19 22:08:32,-23.4923,-58.7972,93.99,37,55,4.21
189,Baruun-Urt,MN,2023-01-19 22:08:33,46.6806,113.2792,-17.16,90,4,8.95
190,Mildura,AU,2023-01-19 22:08:33,-34.2,142.15,60.08,63,7,13.98
191,Baykit,RU,2023-01-19 22:08:34,61.67,96.37,-43.76,97,96,4.59
192,Ornskoldsvik,SE,2023-01-19 22:08:34,63.2909,18.7153,29.35,100,75,3.44
193,Kodiak,US,2023-01-19 22:08:35,57.79,-152.4072,36.91,93,100,11.5
194,Homer,US,2023-01-19 22:08:35,59.6425,-151.5483,32.81,82,100,17.0
195,Kozluk,TR,2023-01-19 22:08:36,38.1938,41.4885,30.45,51,6,5.75
196,Ponta Do Sol,PT,2023-01-19 22:08:36,32.6667,-17.1,62.71,68,43,8.9
197,Teguldet,RU,2023-01-19 22:08:37,57.3064,88.1667,6.17,96,100,5.53
198,Mwene-Ditu,CD,2023-01-19 22:08:37,-7.0,23.45,66.07,93,98,1.54
199,Torbay,CA,2023-01-19 22:05:32,47.6666,-52.7314,37.58,93,75,14.97
200,Nelson Bay,AU,2023-01-19 22:08:38,-32.7167,152.15,70.0,86,92,11.01
201,Paamiut,GL,2023-01-19 22:08:39,61.994,-49.6678,14.5,78,88,23.26
202,Anqiu,CN,2023-01-19 22:08:39,36.4342,119.1925,24.84,40,0,8.01
203,Cabo San Lucas,MX,2023-01-19 22:08:40,22.8909,-109.9124,72.61,62,75,8.05
204,Ocampo,MX,2023-01-19 22:08:40,21.65,-101.5,72.01,14,84,13.2
205,Aksarka,RU,2023-01-19 22:08:40,66.5606,67.7975,-8.55,100,44,2.66
206,Requena,ES,2023-01-19 22:04:45,39.4883,-1.1004,44.53,89,90,31.9
207,Lavrentiya,RU,2023-01-19 22:08:41,65.5833,-171.0,-23.26,92,29,6.85
208,Vestmannaeyjar,IS,2023-01-19 22:08:42,63.4427,-20.2734,38.23,70,100,26.84
209,Nepomuceno,BR,2023-01-19 22:04:26,-21.2358,-45.2358,69.4,84,66,1.61
210,Bethal,ZA,2023-01-19 22:08:42,-26.4579,29.4655,67.55,62,97,4.88
211,Belmonte,BR,2023-01-19 22:04:28,-15.8631,-38.8828,77.04,82,42,6.08
212,The Valley,AI,2023-01-19 22:07:59,18.217,-63.0578,77.14,73,20,5.75
213,Taksimo,RU,2023-01-19 22:08:43,56.3444,114.8794,-39.95,93,75,1.39
